var,construct,sub,first_val,first_val_label,form
YACT1B07,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","(참여한 적이 있다면) 만족도 / 건강/보건 관련 활동(신체단련, 안전·응급처치 등)",1,전혀 만족하지 않는다,m
YACT1B03,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","(참여한 적이 있다면) 만족도 / 모험/개척 관련 활동(탐사·등반, 야영 등)",1,전혀 만족하지 않는다,m
YACT1B02,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","(참여한 적이 있다면) 만족도 / 과학/정보 관련 활동(경진 대회, 과학 실험 등)",1,전혀 만족하지 않는다,m
YACT1A06,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.",지난 1년간 참여 횟수 / 국제 교류 활동,1,없다,h
YACT1B09,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","(참여한 적이 있다면) 만족도 / 환경 보존 관련 활동(생태·숲 체험, 환경 살리기 등)",1,전혀 만족하지 않는다,h
YACT1A05,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","지난 1년간 참여 횟수 / 직업/진로 관련 활동(직업 체험, 진로 탐색 등)",1,없다,h
YACT1A04,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","지난 1년간 참여 횟수 / 자원봉사활동(일손 돕기, 자선·구호 등)",1,없다,h
YACT2A01,"지난 1년 동안 다음과 같은 동아리 활동에 참여한 경험이 있습니까?경험이 있다면 총 참여 횟수가 얼마나 되는지, 또한 그 경험이 얼마나 만족스러웠는지 응답해 주십시오.","지난 1년간 참여 횟수 / 교내 공식 동아리(방송반, 컴퓨터반 등 학교에서 인정한 모임)",1,없다,m
YACT2B02,"지난 1년 동안 다음과 같은 동아리 활동에 참여한 경험이 있습니까?경험이 있다면 총 참여 횟수가 얼마나 되는지, 또한 그 경험이 얼마나 만족스러웠는지 응답해 주십시오.","(참여한 적이 있다면)만족도 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)",1,전혀 만족하지 않는다,m
YACT2B01,"지난 1년 동안 다음과 같은 동아리 활동에 참여한 경험이 있습니까?경험이 있다면 총 참여 횟수가 얼마나 되는지, 또한 그 경험이 얼마나 만족스러웠는지 응답해 주십시오.","(참여한 적이 있다면)만족도 / 교내 공식 동아리(방송반, 컴퓨터반 등 학교에서 인정한 모임)",1,전혀 만족하지 않는다,h
YACT2A02,"지난 1년 동안 다음과 같은 동아리 활동에 참여한 경험이 있습니까?경험이 있다면 총 참여 횟수가 얼마나 되는지, 또한 그 경험이 얼마나 만족스러웠는지 응답해 주십시오.","지난 1년간 참여 횟수 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)",1,없다,h
YSVL1B07,귀하는 다음과 같은 행동을 친구나 선후배에게 가한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),"온라인(인터넷, 카카오톡, SNS 등)에서 따돌리거나 괴롭히기(예: 욕설/모욕, 협박, 성희롱, 사생활 공개 등) / 미세먼지",1,전혀 없다,m
YSVL1B03,귀하는 다음과 같은 행동을 친구나 선후배에게 가한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),심하게 때리기 / 미세먼지,1,전혀 없다,m
YSVL1B02,귀하는 다음과 같은 행동을 친구나 선후배에게 가한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),집단따돌림(왕따)시키기 / 미세먼지,1,전혀 없다,m
YSVL1B01,귀하는 다음과 같은 행동을 친구나 선후배에게 가한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),심하게 놀리거나 조롱하기 / 미세먼지,1,전혀 없다,m
YSVL1B04,귀하는 다음과 같은 행동을 친구나 선후배에게 가한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),협박하기 / 미세먼지,1,전혀 없다,m
YSVL1B06,귀하는 다음과 같은 행동을 친구나 선후배에게 가한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),심한 욕설과 폭언 / 미세먼지,1,전혀 없다,m
YSVL1B05,귀하는 다음과 같은 행동을 친구나 선후배에게 가한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),돈이나 물건 뺏기(삥뜯기) / 미세먼지,1,전혀 없다,m
YSVL1E04,다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오. (중복 응답 가능),협박 당하기 / 미세먼지,1,전혀 없다,m
YSVL1E05,다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오. (중복 응답 가능),돈이나 물건 빼앗기기(삥뜯기기) / 미세먼지,1,전혀 없다,m
YSVL1E03,다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오. (중복 응답 가능),심하게 맞기 / 미세먼지,1,전혀 없다,m
YSVL1E01,다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오. (중복 응답 가능),심하게 놀림이나 조롱당하기 / 미세먼지,1,전혀 없다,m
YSVL1E07,다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오. (중복 응답 가능),"사이버 공간(인터넷, 카카오톡, SNS 등)에서 따돌림이나 괴롭힘을 당함 / 미세먼지",1,전혀 없다,m
YSVL1E02,다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오. (중복 응답 가능),집단따돌림(왕따)당하기 / 미세먼지,1,전혀 없다,m
YSVL1E06,다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있다면 언제입니까? 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오. (중복 응답 가능),심한 욕설과 폭언 당하기 / 미세먼지,1,전혀 없다,m
YFUR4C15,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,진로 관련 책/잡지 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C12,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,진로 캠프 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C04,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,진로 관련 상담 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C07,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,교육과정 및 진학 관련 설명회 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C06,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,진로 관련 특강 및 강연 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C03,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,진로 심리 검사 및 적성 검사 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C16,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,진로 관련 인터넷 자료 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C14,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,직업박람회 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C13,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,대학과 연계한 진로체험 활동 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C11,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,직업 실무 체험 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C10,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,현장 직업 체험 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C09,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,현장 견학 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C02,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,창의적 체험활동 중 진로 활동 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C08,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,학업 설계 워크숍 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C05,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,진로 관련 동아리 활동 / 미세먼지,1,(참여한 적) 없다,m
YFUR4C01,지난 1년 동안 다음과 같은 진로와 관련된 활동에 참여한 경험이 있습니까? 참여한 적이 있다면 참여 경험이 진로 설정에 얼마나 도움이 되었는지 응답해 주십시오.,‘진로와 직업’ 수업 / 미세먼지,1,(참여한 적) 없다,m
YSVL2B01,귀하는 부모님간에 다음과 같은 행동이 이루어지는 것을 본적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),욕설이나 무시하는 말 등 심한 말을 하였다 / 미세먼지,1,전혀 없다,m
YSVL2B02,귀하는 부모님간에 다음과 같은 행동이 이루어지는 것을 본적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),손으로 때리거나 발로 찼다 / 미세먼지,1,전혀 없다,m
YDLQ2A06,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,"누군가의 개인정보(이름, 나이, 학교, 전화번호 등)를 인터넷에 올리는 신상털기를 한 적이 있다 / 주말(하루 평균)",1,전혀 없다,h
YDLQ2A04,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,"당사자가 원치 않는 사진, 엽사, 이미지, 동영상을 보내거나 몰래 다른 사람들에게 전달한 적이 있다 / 주말(하루 평균)",1,전혀 없다,h
YDLQ2A07,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,"게임머니, 게임아이템, 사이버머니, 돈을 뺏은 적이 있다 / 주말(하루 평균)",1,전혀 없다,h
YDLQ2A05,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,다른 사람 아이디를 도용해 가짜 계정을 만들거나 사이버상에서 그 사람인 것처럼 행동한 적이 있다 / 주말(하루 평균),1,전혀 없다,h
YDLQ2A03,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,"상대방이 싫다는데 계속해서 말, 글, 그림 등을 보내 스토킹 한 적이 있다 / 주말(하루 평균)",1,전혀 없다,h
YDLQ2A02,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,누군가에 대한 욕이나 나쁜 소문을 다른 사람들에게 퍼뜨린 적이 있다 / 주말(하루 평균),1,전혀 없다,h
YDLQ2A11,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,일부러 시비를 걸어 상대방이 먼저 욕하게 하거나 성격에 문제있어 보이게 유도한 적이 있다 / 주말(하루 평균),1,전혀 없다,m
YDLQ2A10,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,인터넷 대화방에서 누군가를 퇴장하지 못하도록 하거나 싫다는데 반복적으로 초대한 적이 있다 / 주말(하루 평균),1,전혀 없다,m
YDLQ2A13,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,누군가를 괴롭힐 목적으로 저격글을 올려 여러 사람이 볼 수 있게 한 적이 있다 / 주말(하루 평균),1,전혀 없다,m
YDLQ2A12,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,스마트폰 등을 이용해 상대방이 원하지 않는 행동을 시키거나 (담배)심부름을 시킨 적이 있다 / 주말(하루 평균),1,전혀 없다,m
YDLQ2A08,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,와이파이 셔틀이나 핫스팟 셔틀(데이터를 무료로 제공하게 시키는 것)을 시킨 적이 있다 / 주말(하루 평균),1,전혀 없다,m
YDLQ2A14,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,사이버 상에서 누군가를 집중공격을 한 적이 있다 / 주말(하루 평균),1,전혀 없다,m
YDLQ2A01,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,누군가에게 욕이나 험한 말을 직접 보낸 적이 있다 / 주말(하루 평균),1,전혀 없다,m
YDLQ2A09,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,"상대방이 원하지 않는 성적인 글이나 말, 야한 사진, 동영상 등을 보낸 적이 있다 / 주말(하루 평균)",1,전혀 없다,h
YDLQ2A15,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,대화방에 일부러 상대방을 초대하지 않거나 댓글이나 말을 무시한 적이 있다 / 주말(하루 평균),1,전혀 없다,h
YSVL1C02,지난 1년 동안 귀하는 다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있습니까? 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,집단따돌림(왕따)당하기 / 미세먼지,1,전혀 없다,m
YSVL1C01,지난 1년 동안 귀하는 다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있습니까? 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,심하게 놀림이나 조롱당하기 / 미세먼지,1,전혀 없다,m
YSVL1C07,지난 1년 동안 귀하는 다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있습니까? 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,"사이버 공간(인터넷, 카카오톡, SNS 등)에서 따돌림이나 괴롭힘을 당함 / 미세먼지",1,전혀 없다,m
YSVL1C03,지난 1년 동안 귀하는 다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있습니까? 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,심하게 맞기 / 미세먼지,1,전혀 없다,m
YSVL1C04,지난 1년 동안 귀하는 다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있습니까? 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,협박 당하기 / 미세먼지,1,전혀 없다,m
YSVL1C06,지난 1년 동안 귀하는 다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있습니까? 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,심한 욕설과 폭언 당하기 / 미세먼지,1,전혀 없다,m
YSVL1C05,지난 1년 동안 귀하는 다음과 같은 행동을 친구나 선후배로부터 당한 경험이 있습니까? 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,돈이나 물건 빼앗기기(삥뜯기기) / 미세먼지,1,전혀 없다,m
YFAM2A04,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님은 나를 특별하게 여기신다 / 주말(하루 평균),1,전혀 그렇지 않다,m
YFAM2A03,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님은 항상 나를 반가워하신다 / 주말(하루 평균),1,전혀 그렇지 않다,m
YFAM2A02,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님은 나와 함께 있는 것을 좋아하신다 / 주말(하루 평균),1,전혀 그렇지 않다,m
YFAM2F03,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님은 나에 대한 규칙을 자주 바꾸신다 / 주말(하루 평균),1,전혀 그렇지 않다,m
YFAM2F04,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님은 사전에 주의도 주지 않고 화부터 내신다 / 주말(하루 평균),1,전혀 그렇지 않다,m
YFAM2B01,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님이 나를 좋아하시는지 가끔 궁금할 때가 있다 / 주말(하루 평균),1,전혀 그렇지 않다,m
YFAM2B02,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님은 내가 방해가 된다고 생각하신다 / 주말(하루 평균),1,전혀 그렇지 않다,h
YFAM2B04,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님은 내가 하는 어떤 것도 만족스러워하지 않으신다 / 주말(하루 평균),1,전혀 그렇지 않다,h
YSVL1A07,지난 1년 동안 귀하는 다음과 같은 행동을 친구나 선후배에게 가한 경험이 있습니까? 다음 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,"온라인(인터넷, 카카오톡, SNS 등)에서 따돌리거나 괴롭히기(예: 욕설/모욕, 협박, 성희롱, 사생활 공개 등) / 미세먼지",1,전혀 없다,m
YFAM2B03,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님은 나로 하여금 불필요한 존재라고 느끼게 하신다 / 주말(하루 평균),1,전혀 그렇지 않다,h
YFAM2C03,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님은 내가 중요하게 생각하는 일을 하게 해주신다 / 주말(하루 평균),1,전혀 그렇지 않다,h
YFAM2C02,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,부모님은 나를 있는 그대로 받아주신다 / 주말(하루 평균),1,전혀 그렇지 않다,h
