prefix,n_items,items,sample_construct
YPHY1,3,YPHY1A00;YPHY1B00;YPHY1C00,또래 친구들과 비교해 볼 때 건강 상태가 어떻다고 생각합니까?
YPHY2,2,YPHY2A00;YPHY2B00,키와 몸무게는 어떻게 됩니까?
YINT1,2,YINT1A00;YINT1B00,지난 학기(조사년도 1학기) 전 과목 성적은 다음 중 어디에 해당한다고 생각하십니까?
YBRT1,2,YBRT1A;YBRT1B,학생은 몇 년 몇 월에 태어났습니까? 실제 태어난 생년과 월을 아래에 써 주십시오.
YFUR1,2,YFUR1A00;YFUR1B00,앞으로 어느 정도 수준까지 공부할 계획입니까?
ARA1,2,ARA1A;ARA1B,시/도(학교 기준)
HID,1,HID,-
COHO,1,COHORT,코호트 구분
ARA2,1,ARA2A,도시규모(학교기준)
ID,1,ID,-
YEDU1,1,YEDU1A00,지난 학기(조사년도 1학기) 학교생활에 얼마나 만족하십니까?
SCLI,1,SCLID,-
PID,1,PID,-
WEIGHTA2,1,WEIGHTA2,-
WEIGHTA1,1,WEIGHTA1,-
YGEN,1,YGENDER,학생의 성별은 무엇입니까?
YTWI,1,YTWIN,쌍둥이 여부
